air_temperature,sea_surface_temperature
22.657653,21.93496774
22.63864825,21.89298613
22.72991938,21.86636358
22.7706475,21.93708821
22.86870963,21.98827724
22.96606745,22.0380977
22.88180724,22.04365346
22.84488231,22.05403571
22.79495215,22.07662241
22.79850128,22.09240472
22.78086491,22.12452235
22.74809436,22.11060854
22.66465774,22.08612176
22.63264291,22.12658034
22.70652334,22.16035728
22.73120572,22.18320765
22.70519098,22.18078259
22.66165629,22.16666346
22.49399166,22.1666688
22.43597126,22.16595161
22.41772975,22.15508717
22.42206706,22.14607792
22.46896807,22.1358961
22.43896485,22.15259167
22.46768095,22.0567
22.43288885,22.01330985
22.38886688,21.98293467
22.3779083,21.95275959
22.31403878,21.93123608
22.31708587,21.90019595
22.30721135,21.87709603
22.36570041,21.87657876
22.34641769,21.84132571
22.23991567,21.77190565
22.23203521,21.6741342
22.19068643,21.52683656
22.05980424,21.32744624
21.99198569,21.13301788
22.02982954,21.05005922
22.31018667,21.23617815
22.17449287,21.34307275
22.20728168,21.39797625
22.16236356,21.34146078
22.02377043,21.25303396
21.88637003,21.20047255
21.82614397,21.15365593
21.78173497,21.10621667
21.81724436,21.08218704
21.81937453,21.02818733
21.82023035,21.00997505
21.90650138,20.99925954
21.75532372,21.00424753
21.74705603,21.06230178
21.8067301,21.12213369
21.95655267,21.20183118
22.00441044,21.29964102
22.06284788,21.40336429
22.10875304,21.5174579
22.19310519,21.6222135
22.27169473,21.72366667
22.34766062,21.82913955
22.3871425,21.93018484
22.56745533,22.0180149
22.62261241,22.05040467
22.69519802,22.0711
22.71015569,22.12529235
22.73098088,22.14960253
22.63147223,22.0225605
22.64068883,21.9516
22.59830373,21.94339646
22.55864192,21.96105576
22.63855674,22.01574071
22.68427844,22.09811397
22.90459679,22.25662431
22.88809286,22.4267112
22.81924277,22.48403256
22.88865694,22.52900832
22.82012534,22.57802364
22.74592842,22.63003876
22.71866128,22.64203123
22.6885585,22.64884846
22.70218688,22.6520336
22.58108586,22.61756827
22.55888632,22.56995986
22.6263418,22.52505448
22.56385653,22.49453333
22.61784079,22.475
22.67342781,22.56115
22.66596295,22.5668455
22.76805938,22.57618444
22.77909899,22.59562711
22.78078848,22.6003467
22.78951711,22.56981941
22.91175575,22.53744399
22.88044752,22.41127825
22.66639477,22.18901489
22.58161271,22.16975691
22.51725627,22.05534288
22.56241484,21.98203684
22.54811058,22.03038328
22.3851507,21.87832338
22.20966223,21.68225382
22.15385106,21.61265868
22.10178188,21.58832136
22.13439755,21.63176288
22.15833727,21.74797809
22.13274994,21.8271309
22.13718253,21.89162673
22.05922381,21.89459296
22.07716623,21.9257608
22.00955299,21.96745645
22.01677139,21.99154727
21.92418133,21.97799488
21.90547929,21.95584386
21.8318235,21.90909494
21.85480022,21.81652768
21.74230931,21.70462306
21.7003404,21.62120368
21.62580396,21.5680695
21.62735296,21.53445818
21.61057336,21.53016014
21.59291903,21.55126267
21.5974652,21.60015098
21.55386944,21.68652901
21.5628545,21.81707843
21.5214086,21.88723529
21.45609722,21.95253758
21.4720837,21.97265325
21.52163903,22.04471333
21.55480804,22.08501813
21.57892181,22.01122838
21.56052885,21.94380278
21.49708923,21.86022496
21.38548432,21.8364
21.41684153,21.88045549
21.5789521,21.928254
21.77894162,21.99742635
21.8261523,22.06579537
22.03356921,22.17200345
22.31578323,22.28242741
22.45485897,22.39344445
22.54812303,22.54640409
22.59940993,22.66608529
22.51672285,22.70515642
22.63524264,22.71450606
22.61051892,22.74645714
22.724088,22.8083387
22.79664247,22.88989176
22.7967756,22.90122985
22.71009344,22.85964742
22.64410439,22.79524821
22.65117624,22.74698768
22.61853364,22.70952923
22.60514474,22.69001677
22.60757314,22.67731357
22.60765897,22.65671406
22.49279129,22.60224893
22.39976882,22.54144286
22.4453296,22.4775
22.39941232,22.48374167
22.37944248,22.45011905
22.33753977,22.38625
22.51495738,22.29977572
22.44498572,22.30876667
22.39767156,22.3135
22.38152852,22.32290452
22.35670955,22.33942702
22.33345119,22.35739773
22.30050875,22.3866524
22.32028162,22.43672324
22.32778701,22.51993628
22.39612971,22.54999114
22.25669125,22.52385252
22.1747281,22.44718756
22.08383629,22.42171547
22.12955719,22.42073333
22.15303059,22.35746874
22.15605291,22.33616668
22.14409292,22.34573773
22.14519034,22.35254545
22.1162169,22.36119505
22.0089084,22.36812281
21.96570946,22.376829
21.79143566,22.37697059
21.64573481,22.36281509
