mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb
19.9091643378139,6,162.535607583821,120.028088954277,3.80449254850857,2.8421362141883,15.5782974674627,0,1,4,4
21.3969196834601,6,159.545142292976,106.79250817094,3.75063423367683,3.04042445802479,16.0545491066203,0,1,4,4
24.3883905266225,4,101.463582496718,96.5965923294425,3.59445106529864,2.30565531186759,19.0312023735712,1,1,4,1
22.4384827428497,6,268.209483994078,103.698142022826,3.24417380252294,3.16528466693591,19.2319748395644,1,0,3,1
19.0759389686957,8,332.713391767815,190.263412635541,2.88134835353354,3.58985493349656,15.8738821816854,0,0,3,2
18.9957789149182,6,210.987604628317,107.863526817877,2.86274530345201,3.6623314299183,20.084159354154,1,0,3,1
15.3114661790431,8,372.425034094602,238.507350303233,3.40959179963451,3.84628534434177,15.1645242673159,0,0,3,4
25.6658648491465,4,148.545351172155,58.6142915840261,3.98768780897046,3.48759951074235,20.4205013774335,1,0,4,2
24.289830333218,4,140.876303592324,88.8130470430478,3.84457310024649,2.94554626348894,21.8122187361168,1,0,4,2
17.316035810709,6,168.842632277384,115.900369290216,4.25113450007513,3.62631406160444,20.0380786608299,1,0,4,4
17.0507880596444,6,156.018635013439,111.075993003091,3.59880401977897,3.38760773436725,17.03829819493,1,0,4,4
15.1810391329229,8,303.356552711753,171.908112865873,3.02454088367522,4.3940426974697,18.5603542275354,0,0,3,3
17.6367179934727,8,281.059822967909,163.43396429345,3.22666272936203,3.99566204122501,16.7143194987625,0,0,3,3
14.4248703292757,8,289.000195532981,186.51985192392,3.26366072645178,3.58567607984785,18.3631281760521,0,0,3,3
11.3414618483558,8,492.297790456563,194.650207903469,2.68710317384917,4.85527396904072,17.7630092131691,0,0,3,4
10.6682906099409,8,465.786179923452,233.000964211533,2.86990858409554,5.46153114143461,16.6885465146275,0,0,3,4
14.928985111881,8,425.866892637685,228.316396294627,3.05806548067555,5.84251377888117,16.8486904727472,0,0,3,4
34.125236755684,4,77.7724153065868,68.7094586824067,4.19917773672938,2.37863808558322,20.3629848561175,1,1,4,1
29.036617731601,4,81.8176930813491,47.2797203920782,4.55450152457552,1.58267728225561,19.3470334209409,1,1,4,2
30.6650471345941,4,68.7712888199463,70.1675453227945,4.57646791588329,1.95673132764082,19.7247425087402,1,1,4,1
23.0782741081435,4,125.381877868939,103.88732841094,3.36829675782472,2.42652613281971,20.7006173760882,1,0,3,1
13.986333157937,8,344.220780670177,145.704101391602,2.62316868402064,3.58090386337042,16.188337204406,0,0,3,2
14.9374179793522,8,316.992669132352,143.68060325738,3.37276407301426,3.68528200384998,17.8679928239621,0,0,3,2
13.6998304952355,8,315.668099625036,222.685726341326,3.59441973733297,4.12882726603746,16.8735319523276,0,0,3,4
20.5183797079325,8,372.968210857362,187.930999846431,2.79609571176022,3.85783273284324,17.7360459285602,0,0,3,2
26.8325624236185,4,82.7852828812785,71.7523392230272,3.77132229603454,2.06064457926806,20.2331535528274,1,1,4,1
24.0294299497269,4,131.134115365315,93.1931758042425,4.61118620062759,2.1745816894332,18.0762687460799,0,1,5,2
30.3681147196889,4,101.642491750689,109.930371033121,3.61116434913129,1.57425065646404,17.0847172976891,1,1,5,2
16.626418202389,8,383.733354370203,252.960790130496,4.4841670052018,3.40669787422894,15.5057537697256,0,1,5,4
18.307987793237,6,152.591268650023,180.477591116214,3.49254032702558,2.86218599160109,15.8224463301711,0,1,5,6
16.4578771144152,8,273.216113022063,306.895084841643,3.43358732760977,3.47847495325562,13.475549442349,0,1,5,8
20.727997073587,4,131.498251850251,103.79855301152,4.42625580412382,3.05389197793044,17.6307984939404,1,1,4,2
